사용일자,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,안산선,정왕,11330,11611,20231110
20231107,분당선,정자,20187,21173,20231110
20231107,1호선,제기동,18225,18509,20231110
20231107,경인선,제물포,12224,11808,20231110
20231107,1호선,종각,44327,43375,20231110
20231107,3호선,종로3가,11617,13056,20231110
20231107,5호선,종로3가,14865,14502,20231110
20231107,1호선,종로3가,27129,24561,20231110
20231107,1호선,종로5가,27087,26031,20231110
20231107,9호선2~3단계,종합운동장,5253,5540,20231110
20231107,2호선,종합운동장,21181,25445,20231110
20231107,경인선,주안,20869,19157,20231110
20231107,일산선,주엽,10871,11003,20231110
20231107,분당선,죽전,16169,17454,20231110
20231107,7호선,중계,17027,15822,20231110
20231107,7호선,중곡,12431,11791,20231110
20231107,경인선,중동,10196,9537,20231110
20231107,중앙선,중랑,5906,5828,20231110
20231107,안산선,중앙,19578,20676,20231110
20231107,9호선2~3단계,중앙보훈병원,14006,12432,20231110
20231107,7호선,중화,11854,11711,20231110
20231107,9호선,증미,9200,8832,20231110
20231107,6호선,증산(명지대앞),11174,11171,20231110
20231107,3호선,지축,7800,7876,20231110
20231107,중앙선,지평,57,73,20231110
20231107,경원선,지행,6874,6980,20231110
20231107,경부선,직산,988,1003,20231110
20231107,경부선,진위,1997,1892,20231110
20231107,경원선,창동,1,0,20231110
20231107,4호선,창동,27632,29331,20231110
20231107,6호선,창신,4121,3628,20231110
20231107,경춘선,천마산,1749,1628,20231110
20231107,경부선,천안,7884,6939,20231110
20231107,7호선,천왕,13145,12580,20231110
20231107,8호선,천호(풍납토성),15962,18291,20231110
20231107,5호선,천호(풍납토성),19720,19734,20231110
20231107,7호선,철산,23568,24017,20231110
20231107,5호선,청구,4361,3942,20231110
20231107,6호선,청구,4309,4451,20231110
20231107,7호선,청담,21892,24079,20231110
20231107,공항철도 1호선,청라국제도시,8124,7579,20231110
20231107,경원선,청량리(서울시립대입구),16992,18241,20231110
20231107,1호선,청량리(서울시립대입구),23265,22846,20231110
20231107,분당선,청명,5156,5098,20231110
20231107,경춘선,청평,1838,1699,20231110
20231107,경강선,초월,3828,3724,20231110
20231107,안산선,초지,6079,6059,20231110
20231107,4호선,총신대입구(이수),20962,22655,20231110
20231107,경춘선,춘천,1818,1654,20231110
20231107,3호선,충무로,2,0,20231110
20231107,4호선,충무로,36307,37090,20231110
20231107,5호선,충정로(경기대입구),5370,5630,20231110
20231107,2호선,충정로(경기대입구),11684,12435,20231110
20231107,경의선,탄현,9002,8408,20231110
20231107,장항선,탕정,1652,1485,20231110
20231107,6호선,태릉입구,6277,7263,20231110
20231107,7호선,태릉입구,10334,9726,20231110
20231107,분당선,태평,14434,13856,20231110
20231107,경춘선,퇴계원,4118,3749,20231110
20231107,경의선,파주,1790,1369,20231110
20231107,경강선,판교,6754,6532,20231110
20231107,중앙선,팔당,815,789,20231110
20231107,경춘선,평내호평,7170,6848,20231110
20231107,과천선,평촌,20568,19772,20231110
20231107,경부선,평택,13664,13637,20231110
20231107,경부선,평택지제,4734,4601,20231110
20231107,경의선,풍산,6547,6200,20231110
20231107,7호선,하계,20437,19388,20231110
20231107,5호선,하남검단산,6849,6427,20231110
20231107,5호선,하남시청(덕풍?신장),8628,8412,20231110
20231107,5호선,하남풍산,4826,4827,20231110
20231107,7호선,학동,27441,28793,20231110
20231107,3호선,학여울,2239,2222,20231110
20231107,6호선,한강진,9638,11146,20231110
20231107,경원선,한남,4620,4310,20231110
