사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20230907,7호선,상봉(시외버스터미널),18478,17712,20230910
20230907,중앙선,상봉(시외버스터미널),6561,6330,20230910
20230907,6호선,상수,10747,12669,20230910
20230907,2호선,상왕십리,16132,15758,20230910
20230907,6호선,상월곡(한국과학기술연구원),8380,8019,20230910
20230907,5호선,상일동,16388,15371,20230910
20230907,경춘선,상천,316,315,20230910
20230907,6호선,새절(신사),14824,13586,20230910
20230907,9호선,샛강,7301,7403,20230910
20230907,신림선,샛강,3280,3748,20230910
20230907,경의선,서강대,2687,2692,20230910
20230907,5호선,서대문,23582,24078,20230910
20230907,경부선,서동탄,1653,1423,20230910
20230907,경원선,서빙고,2559,2307,20230910
20230907,신림선,서울대벤처타운,10014,9380,20230910
20230907,2호선,서울대입구(관악구청),51943,50476,20230910
20230907,분당선,서울숲,13133,13527,20230910
20230907,4호선,서울역,14472,22511,20230910
20230907,경부선,서울역,8439,2830,20230910
20230907,경의선,서울역,5435,6902,20230910
20230907,공항철도 1호선,서울역,13195,11073,20230910
20230907,1호선,서울역,55807,52934,20230910
20230907,신림선,서울지방병무청,3472,3633,20230910
20230907,신림선,서원,3932,3388,20230910
20230907,경부선,서정리,9544,8732,20230910
20230907,2호선,서초,25315,24426,20230910
20230907,분당선,서현,25566,26062,20230910
20230907,6호선,석계,14252,14790,20230910
20230907,경원선,석계,8654,9739,20230910
20230907,경부선,석수,10413,9520,20230910
20230907,8호선,석촌,8570,9891,20230910
20230907,9호선2~3단계,석촌,10118,9092,20230910
20230907,9호선2~3단계,석촌고분,7608,7459,20230910
20230907,분당선,선릉,15572,23862,20230910
20230907,2호선,선릉,67514,59315,20230910
20230907,과천선,선바위,9377,8165,20230910
20230907,9호선,선유도,10202,9638,20230910
20230907,9호선2~3단계,선정릉,11521,12320,20230910
20230907,분당선,선정릉,9192,9826,20230910
20230907,경부선,성균관대,17603,17001,20230910
20230907,2호선,성수,43248,47829,20230910
20230907,4호선,성신여대입구(돈암),24574,23197,20230910
20230907,우이신설선,성신여대입구(돈암),3861,4299,20230910
20230907,경부선,성환,7827,7056,20230910
20230907,경부선,세류,3623,3215,20230910
20230907,경부선,세마,3298,3222,20230910
20230907,경강선,세종대왕릉,354,360,20230910
20230907,수인선,소래포구,6045,5684,20230910
20230907,경인선,소사,9006,8548,20230910
20230907,경원선,소요산,2789,2378,20230910
20230907,우이신설선,솔밭공원,2994,2848,20230910
20230907,우이신설선,솔샘,6856,6561,20230910
20230907,경인선,송내,30539,30459,20230910
20230907,수인선,송도,2803,2513,20230910
20230907,5호선,송정,6991,6500,20230910
20230907,경부선,송탄,4667,4589,20230910
20230907,8호선,송파,10637,10359,20230910
20230907,9호선2~3단계,송파나루,5722,6293,20230910
20230907,분당선,수내,15637,15997,20230910
20230907,7호선,수락산,14056,13940,20230910
20230907,안산선,수리산,4740,3873,20230910
20230907,경의선,수색,3700,3859,20230910
20230907,3호선,수서,19919,20241,20230910
20230907,분당선,수서,16030,16647,20230910
20230907,경부선,수원,39496,41556,20230910
20230907,분당선,수원,9038,7837,20230910
20230907,분당선,수원시청,14011,15527,20230910
20230907,4호선,수유(강북구청),37597,37681,20230910
20230907,8호선,수진,5862,5365,20230910
20230907,4호선,숙대입구(갈월),18322,17098,20230910
20230907,7호선,숭실대입구(살피재),18342,18457,20230910
20230907,수인선,숭의,4569,4346,20230910
20230907,1호선,시청,29942,30210,20230910
20230907,2호선,시청,29628,28461,20230910
20230907,분당선,신갈,5423,5326,20230910
20230907,5호선,신금호,7244,7630,20230910
20230907,5호선,신길,5159,5264,20230910
20230907,경부선,신길,9924,8417,20230910
20230907,안산선,신길온천,2109,1934,20230910
20230907,6호선,신내,1,0,20230910
20230907,경춘선,신내,2714,2535,20230910
20230907,9호선,신논현,33360,32186,20230910
20230907,2호선,신답,1876,2120,20230910
20230907,6호선,신당,10366,10742,20230910
20230907,2호선,신당,16081,16875,20230910
20230907,2호선,신대방,28009,27185,20230910
20230907,7호선,신대방삼거리,16845,16114,20230910
20230907,경부선,신도림,4244,4432,20230910
20230907,2호선,신도림,54318,53153,20230910
20230907,경강선,신둔도예촌,1803,1596,20230910
20230907,신림선,신림,1886,2654,20230910
20230907,2호선,신림,58757,56065,20230910
20230907,9호선,신목동,5033,4473,20230910
20230907,9호선,신반포,4591,4749,20230910
20230907,9호선,신방화,7833,7562,20230910
20230907,3호선,신사,30134,31395,20230910
20230907,2호선,신설동,3664,3499,20230910
20230907,우이신설선,신설동,2614,2384,20230910
20230907,1호선,신설동,15590,14989,20230910
20230907,4호선,신용산,20603,21896,20230910
20230907,중앙선,신원,256,209,20230910
20230907,경원선,신이문,9282,8639,20230910
20230907,5호선,신정(은행정),15112,12648,20230910
20230907,2호선,신정네거리,11492,11762,20230910
20230907,장항선,신창(순천향대),3735,2806,20230910
20230907,2호선,신촌,43283,44316,20230910
20230907,경의선,신촌,1215,1593,20230910
20230907,수인선,신포,2011,2048,20230910
20230907,7호선,신풍,12541,11727,20230910
20230907,8호선,신흥,5564,5913,20230910
20230907,4호선,쌍문,31852,29788,20230910
20230907,장항선,쌍용(나사렛대),3415,3055,20230910
20230907,장항선,아산,4601,4151,20230910
20230907,중앙선,아신,709,714,20230910
20230907,5호선,아차산(어린이대공원후문),16267,15433,20230910
20230907,2호선,아현,12526,11543,20230910
20230907,3호선,안국,30334,31631,20230910
20230907,안산선,안산,12389,11328,20230910
20230907,6호선,안암(고대병원앞),16924,17069,20230910
20230907,경부선,안양,29118,29201,20230910
20230907,8호선,암사,20953,18424,20230910
20230907,3호선,압구정,34145,37038,20230910
20230907,분당선,압구정로데오,21244,23415,20230910
20230907,5호선,애오개,7815,7766,20230910
20230907,경의선,야당,9390,9461,20230910
20230907,수인선,야목,598,356,20230910
20230907,분당선,야탑,28533,30088,20230910
20230907,6호선,약수,4309,4224,20230910
20230907,3호선,약수,14761,14181,20230910
